#       time         integral Re         integral Im         integral Re         integral Im
#       r =            32.000000           32.000000           50.000000           50.000000
  37.7500000   -1.0159046596e-03   -9.0285668294e-19    7.5374490244e-04    8.3914903582e-19
  38.0000000   -1.0260973496e-03   -5.3735629214e-19    2.1612245311e-04    8.7310031365e-19
  38.2500000   -8.6803170904e-04   -1.0223726426e-19   -3.7983276734e-04    3.0478345612e-19
  38.5000000   -5.1820964980e-04    3.4635229953e-19   -8.0315317773e-04   -5.9511937759e-19
  38.7500000   -1.9610154855e-05    6.8784628136e-19   -9.2813065532e-04   -1.2949231573e-18
  39.0000000    5.1244094445e-04    8.7859781904e-19   -7.4104631335e-04   -1.3371271211e-18
  39.2500000    9.2215995996e-04    8.7404142370e-19   -3.0584063328e-04   -4.7718963753e-19
  39.5000000    1.0706463343e-03    7.0658102717e-19    2.5917980391e-04    7.7650484102e-19
  39.7500000    8.9258052852e-04    4.3583223255e-19    7.8603778466e-04    1.7363743563e-18
  40.0000000    4.2670462412e-04    1.2848745328e-19    1.0793715808e-03    1.6970306960e-18
  40.2500000   -1.9276048436e-04   -1.2198920359e-19    9.8589254349e-04    6.9653048481e-19
  40.5000000   -7.7952986406e-04   -2.8739201013e-19    4.8826194074e-04   -6.8335721370e-19
  40.7500000   -1.1560005397e-03   -4.0226331656e-19   -2.4418870875e-04   -1.5973861583e-18
  41.0000000   -1.2090300326e-03   -4.7814363565e-19   -9.0520824497e-04   -1.4703538690e-18
  41.2500000   -9.2243282782e-04   -5.4131210338e-19   -1.1941064585e-03   -4.8170456570e-19
  41.5000000   -3.7771516077e-04   -5.7754368385e-19   -9.7235220211e-04    6.4424062307e-19
  41.7500000    2.7415997228e-04   -5.5847355823e-19   -3.3722515223e-04    1.1916549233e-18
  42.0000000    8.5862168917e-04   -3.9983165198e-19    4.3282562894e-04    8.7465958316e-19
  42.2500000    1.2261607852e-03   -7.1183686579e-20    1.0233478188e-03   -1.8244889211e-20
  42.5000000    1.2907044978e-03    3.1631486634e-19    1.2309086874e-03   -8.3151102969e-19
  42.7500000    1.0493919339e-03    6.6333061890e-19    1.0345324977e-03   -1.0838239310e-18
  43.0000000    5.8086829212e-04    9.5468845109e-19    5.6984233280e-04   -6.4688719234e-19
  43.2500000    2.3665710457e-05    9.2283866034e-19    3.9856561441e-05    1.7298224432e-19
  43.5000000   -4.6041076706e-04    5.6800941674e-19   -3.8074717286e-04    9.4081860383e-19
  43.7500000   -7.3008769693e-04   -2.3055423214e-20   -6.0286230484e-04    1.2547009757e-18
  44.0000000   -7.0523842206e-04   -6.9643081414e-19   -6.2615838139e-04    1.0070924303e-18
  44.2500000   -3.9270317418e-04   -1.2371113977e-18   -5.0262580376e-04    4.4434143985e-19
  44.5000000    1.1239807659e-04   -1.3895542017e-18   -2.9209218061e-04   -1.5403753016e-19
  44.7500000    6.5346005544e-04   -1.0033752280e-18   -3.8306822803e-05   -6.0256190708e-19
  45.0000000    1.0615179472e-03   -3.1202312553e-19    2.2623828354e-04   -8.2651303227e-19
  45.2500000    1.2115960814e-03    6.2471010215e-19    4.6176521628e-04   -8.2046136910e-19
  45.5000000    1.0662937256e-03    1.5353133787e-18    6.1294123256e-04   -5.8429293986e-19
  45.7500000    6.8942600890e-04    2.0449252092e-18    6.2412812026e-04   -4.6722613496e-19
  46.0000000    2.2299823060e-04    2.0002030095e-18    4.7061432395e-04   -3.2909124280e-19
  46.2500000   -1.6490875427e-04    1.4061385503e-18    1.8406755087e-04   -3.8393734095e-19
  46.5000000   -3.4173634725e-04    4.2313397786e-19   -1.4755444860e-04   -3.4607027958e-19
  46.7500000   -2.5768713462e-04   -7.8185496054e-19   -4.0900371672e-04   -9.9773191141e-20
  47.0000000    3.9520831310e-05   -1.7210244686e-18   -5.0093391789e-04    3.8451692409e-19
  47.2500000    4.2720395516e-04   -2.2183397055e-18   -3.7641031984e-04    1.0320140538e-18
  47.5000000    7.5730518220e-04   -2.1831366382e-18   -5.8208639358e-05    1.6538467961e-18
  47.7500000    9.1242722984e-04   -1.6516394651e-18    3.6482502517e-04    1.7886630303e-18
  48.0000000    8.4631745880e-04   -7.3766518546e-19    7.5791636208e-04    1.3282990528e-18
  48.2500000    5.9447383373e-04    2.3957790620e-19    9.7275968418e-04    2.4391782048e-19
  48.5000000    2.5343393399e-04    1.0929537931e-18    8.8934867024e-04   -9.8199349654e-19
  48.7500000   -6.0326928052e-05    1.5389813439e-18    4.6153127263e-04   -1.9356759480e-18
  49.0000000   -2.5416194122e-04    1.6324174138e-18   -2.4709878572e-04   -2.2177425422e-18
  49.2500000   -2.8892398578e-04    1.3344073060e-18   -1.0565757888e-03   -1.7889381908e-18
  49.5000000   -1.8524610954e-04    7.7812956688e-19   -1.7083253008e-03   -9.1636160758e-19
  49.7500000   -7.2926827576e-06    1.3406906362e-19   -1.9457229935e-03    1.0441462554e-19
  50.0000000    1.6672297902e-04   -4.2860869235e-19   -1.6131702408e-03    8.7164209161e-19
  50.2500000    2.7435087666e-04   -8.1886184147e-19   -7.3418832925e-04    1.3372800483e-18
  50.5000000    2.8805837918e-04   -9.8250739094e-19    4.6910902837e-04    1.4457485672e-18
  50.7500000    2.1854705440e-04   -8.8975820165e-19    1.6318854126e-03    1.1848739441e-18
  51.0000000    1.0383855185e-04   -6.5018351153e-19    2.3635066288e-03    5.6898703200e-19
  51.2500000   -9.3024285771e-06   -2.9707650742e-19    2.3842391111e-03   -1.8963313008e-19
  51.5000000   -8.3470602199e-05    5.6698197306e-20    1.6304424001e-03   -1.0545006497e-18
  51.7500000   -1.0187330813e-04    3.2102084595e-19    2.8842692304e-04   -1.5110178162e-18
  52.0000000   -7.0117252540e-05    4.8411681388e-19   -1.2564491635e-03   -1.4035313624e-18
  52.2500000   -9.8454563458e-06    5.0875298325e-19   -2.5395045414e-03   -6.7929410856e-19
  52.5000000    5.1837662727e-05    4.1428217303e-19   -3.1670040070e-03    2.5039699423e-19
  52.7500000    9.2575810896e-05    2.6044137240e-19   -2.9482732349e-03    1.1567659059e-18
  53.0000000    1.0116228443e-04    7.0108273867e-20   -1.9640764383e-03    1.5558118385e-18
  53.2500000    7.8797164134e-05   -8.6155424345e-20   -5.4319251484e-04    1.3729805524e-18
  53.5000000    3.5972503373e-05   -1.8569114526e-19    8.5033294190e-04    6.1718928177e-19
  53.7500000   -1.2889866427e-05   -2.1855031212e-19    1.7813536487e-03   -2.0904475780e-19
  54.0000000   -5.4654216494e-05   -1.9009043685e-19    1.9964719796e-03   -8.8658438630e-19
  54.2500000   -8.0825326963e-05   -1.2113889247e-19    1.5037274953e-03   -1.1943807928e-18
  54.5000000   -8.8483189711e-05   -4.1610301847e-20    5.4743265865e-04   -1.0268105246e-18
  54.7500000   -7.9305670939e-05    2.7635834462e-20   -5.0697074394e-04   -5.2344879836e-19
  55.0000000   -5.7741241666e-05    6.6626847581e-20   -1.3232903120e-03    9.9864278016e-20
  55.2500000   -2.9325361795e-05    7.4836324986e-20   -1.7127593273e-03    6.9026215389e-19
  55.5000000    3.6077618433e-07    5.9397169373e-20   -1.6732460097e-03    1.0235076464e-18
  55.7500000    2.6155871834e-05    3.1975372716e-20   -1.3447705436e-03    1.1328130370e-18
  56.0000000    4.3601174238e-05    6.6962454658e-21   -9.1651509668e-04    9.3604093916e-19
  56.2500000    4.9401625257e-05   -9.2402410805e-21   -5.3739676001e-04    5.8718624322e-19
  56.5000000    4.2134659565e-05   -1.2596202213e-20   -2.7027395259e-04    1.5701448138e-19
  56.7500000    2.2941213910e-05   -5.1478709976e-21   -1.0011202817e-04   -2.4258320171e-19
  57.0000000   -4.2356397289e-06    8.4095933801e-21    2.2146422748e-05   -4.9247948257e-19
  57.2500000   -3.3207420590e-05    1.5567651614e-20    1.3145035259e-04   -6.4907201440e-19
  57.5000000   -5.6929961876e-05    1.7217206366e-20    2.2261632143e-04   -6.8379576323e-19
  57.7500000   -6.9393926081e-05    1.0656484982e-20    2.5622278491e-04   -6.2460714288e-19
  58.0000000   -6.7422407064e-05    1.4030377390e-21    1.8844316946e-04   -5.4802074210e-19
