#       time                 x_1                 y_1                 z_1                 x_2                 y_2                 z_2
  27.0000000    7.3697869250e+01    6.4000000000e+01   -1.3872198536e-22    5.4302130750e+01    6.4000000000e+01    7.8806118959e-23
  27.5000000    7.3695530247e+01    6.4000000000e+01   -1.3872198536e-22    5.4304469753e+01    6.4000000000e+01    7.8806118959e-23
  28.0000000    7.3693368363e+01    6.4000000000e+01   -1.3872198536e-22    5.4306631637e+01    6.4000000000e+01    7.8806118959e-23
  28.5000000    7.3691307500e+01    6.4000000000e+01   -1.3872198536e-22    5.4308692500e+01    6.4000000000e+01    7.8806118959e-23
  29.0000000    7.3689292910e+01    6.4000000000e+01   -1.3872198536e-22    5.4310707090e+01    6.4000000000e+01    7.8806118959e-23
  29.5000000    7.3687306738e+01    6.4000000000e+01   -1.3872198536e-22    5.4312693262e+01    6.4000000000e+01    7.8806118959e-23
  30.0000000    7.3685355149e+01    6.4000000000e+01   -1.3872198536e-22    5.4314644852e+01    6.4000000000e+01    7.8806118959e-23
  30.5000000    7.3683447601e+01    6.4000000000e+01   -1.3872198536e-22    5.4316552400e+01    6.4000000000e+01    7.8806118959e-23
  31.0000000    7.3681585529e+01    6.4000000000e+01   -1.3872198536e-22    5.4318414472e+01    6.4000000000e+01    7.8806118959e-23
  31.5000000    7.3679763453e+01    6.4000000000e+01   -1.3872198536e-22    5.4320236548e+01    6.4000000000e+01    7.8806118959e-23
  32.0000000    7.3677975026e+01    6.4000000000e+01   -1.3872198536e-22    5.4322024975e+01    6.4000000000e+01    7.8806118959e-23
  32.5000000    7.3676216818e+01    6.4000000000e+01   -1.3872198536e-22    5.4323783183e+01    6.4000000000e+01    7.8806118959e-23
  33.0000000    7.3674488018e+01    6.4000000000e+01   -1.3872198536e-22    5.4325511983e+01    6.4000000000e+01    7.8806118959e-23
  33.5000000    7.3672788429e+01    6.4000000000e+01   -1.3872198536e-22    5.4327211572e+01    6.4000000000e+01    7.8806118959e-23
  34.0000000    7.3671117235e+01    6.4000000000e+01   -1.3872198536e-22    5.4328882766e+01    6.4000000000e+01    7.8806118959e-23
  34.5000000    7.3669473084e+01    6.4000000000e+01   -1.3872198536e-22    5.4330526916e+01    6.4000000000e+01    7.8806118959e-23
  35.0000000    7.3667854665e+01    6.4000000000e+01   -1.3872198536e-22    5.4332145335e+01    6.4000000000e+01    7.8806118959e-23
  35.5000000    7.3666260998e+01    6.4000000000e+01   -1.3872198536e-22    5.4333739003e+01    6.4000000000e+01    7.8806118959e-23
  36.0000000    7.3664691350e+01    6.4000000000e+01   -1.3872198536e-22    5.4335308651e+01    6.4000000000e+01    7.8806118959e-23
  36.5000000    7.3663145045e+01    6.4000000000e+01   -1.3872198536e-22    5.4336854956e+01    6.4000000000e+01    7.8806118959e-23
  37.0000000    7.3661621385e+01    6.4000000000e+01   -1.3872198536e-22    5.4338378616e+01    6.4000000000e+01    7.8806118959e-23
  37.5000000    7.3660119673e+01    6.4000000000e+01   -1.3872198536e-22    5.4339880328e+01    6.4000000000e+01    7.8806118959e-23
  38.0000000    7.3658639258e+01    6.4000000000e+01   -1.3872198536e-22    5.4341360744e+01    6.4000000000e+01    7.8806118959e-23
  38.5000000    7.3657179540e+01    6.4000000000e+01   -1.3872198536e-22    5.4342820461e+01    6.3999999999e+01    7.8806118959e-23
  39.0000000    7.3655739974e+01    6.4000000000e+01   -1.3872198536e-22    5.4344260027e+01    6.3999999999e+01    7.8806118959e-23
  39.5000000    7.3654320065e+01    6.4000000000e+01   -1.3872198536e-22    5.4345679936e+01    6.3999999999e+01    7.8806118959e-23
  40.0000000    7.3652919369e+01    6.4000000000e+01   -1.3872198536e-22    5.4347080632e+01    6.4000000000e+01    7.8806118959e-23
  40.5000000    7.3651537476e+01    6.4000000000e+01   -1.3872198536e-22    5.4348462525e+01    6.4000000000e+01    7.8806118959e-23
  41.0000000    7.3650173966e+01    6.4000000000e+01   -1.3872198536e-22    5.4349826035e+01    6.4000000000e+01    7.8806118959e-23
  41.5000000    7.3648828373e+01    6.4000000000e+01   -1.3872198536e-22    5.4351171628e+01    6.4000000000e+01    7.8806118959e-23
  42.0000000    7.3647500181e+01    6.4000000000e+01   -1.3872198536e-22    5.4352499820e+01    6.4000000000e+01    7.8806118959e-23
  42.5000000    7.3646188865e+01    6.4000000000e+01   -1.3872198536e-22    5.4353811136e+01    6.4000000000e+01    7.8806118959e-23
  43.0000000    7.3644893938e+01    6.4000000000e+01   -1.3872198536e-22    5.4355106063e+01    6.4000000000e+01    7.8806118959e-23
  43.5000000    7.3643614989e+01    6.4000000000e+01   -1.3872198536e-22    5.4356385011e+01    6.4000000000e+01    7.8806118959e-23
  44.0000000    7.3642351684e+01    6.4000000000e+01   -1.3872198536e-22    5.4357648317e+01    6.4000000000e+01    7.8806118959e-23
  44.5000000    7.3641103731e+01    6.4000000000e+01   -1.3872198536e-22    5.4358896269e+01    6.4000000000e+01    7.8806118959e-23
  45.0000000    7.3639870849e+01    6.4000000000e+01   -1.3872198536e-22    5.4360129151e+01    6.4000000000e+01    7.8806118959e-23
  45.5000000    7.3638652745e+01    6.4000000000e+01   -1.3872198536e-22    5.4361347256e+01    6.4000000000e+01    7.8806118959e-23
